,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
226,typicode/lowdb,JavaScript,18412,138,415,860,471.0
227,svg/svgo,JavaScript,18376,590,1103,1317,1003.3333333333334
228,zadam/trilium,JavaScript,18360,203,2469,1200,1290.6666666666667
229,wekan/wekan,JavaScript,18268,1221,3221,2763,2401.6666666666665
230,processing/p5.js,JavaScript,18255,2427,3316,2721,2821.3333333333335
231,eggjs/egg,JavaScript,18203,1149,3861,1779,2263.0
232,badges/shields,JavaScript,18122,6203,2224,5044,4490.333333333333
233,SortableJS/Vue.Draggable,JavaScript,18053,140,1014,2767,1307.0
234,jsdom/jsdom,JavaScript,18010,1307,2112,1554,1657.6666666666667
235,responsively-org/responsively-app,JavaScript,17948,289,357,767,471.0
236,facebookexperimental/Recoil,JavaScript,17847,960,915,1008,961.0
237,HelloZeroNet/ZeroNet,JavaScript,17654,582,2148,2269,1666.3333333333333
238,nosir/cleave.js,JavaScript,17558,191,502,1639,777.3333333333334
239,adam-golab/react-developer-roadmap,JavaScript,17516,59,41,1925,675.0
240,zloirock/core-js,JavaScript,17508,282,822,1329,811.0
241,mysqljs/mysql,JavaScript,17474,390,2120,2486,1665.3333333333333
242,facebook/flux,JavaScript,17364,313,241,3591,1381.6666666666667
243,PanJiaChen/vue-admin-template,JavaScript,17240,101,638,6670,2469.6666666666665
244,BoostIO/BoostNote-Legacy,JavaScript,17236,1359,2342,1548,1749.6666666666667
245,julianshapiro/velocity,JavaScript,17206,116,815,1619,850.0
246,JacksonTian/fks,JavaScript,17199,118,30,4625,1591.0
247,handsontable/handsontable,JavaScript,17129,2001,7652,2813,4155.333333333333
248,testing-library/react-testing-library,JavaScript,17096,445,651,1015,703.6666666666666
249,MichMich/MagicMirror,JavaScript,17033,1519,1301,3910,2243.3333333333335
250,SBoudrias/Inquirer.js,JavaScript,16961,435,730,1182,782.3333333333334
251,framework7io/framework7,JavaScript,16942,674,3360,3291,2441.6666666666665
252,tailwindlabs/heroicons,JavaScript,16909,99,355,1078,510.6666666666667
253,dropzone/dropzone,JavaScript,16909,248,1798,3309,1785.0
254,chaozh/awesome-blockchain-cn,JavaScript,16904,25,32,3498,1185.0
255,less/less.js,JavaScript,16862,931,2791,3459,2393.6666666666665
256,handlebars-lang/handlebars.js,JavaScript,16822,521,1325,2064,1303.3333333333333
257,defunkt/jquery-pjax,JavaScript,16805,279,446,2067,930.6666666666666
258,angular/material,JavaScript,16725,3084,9009,3539,5210.666666666667
259,statsd/statsd,JavaScript,16710,457,273,1985,905.0
260,artf/grapesjs,JavaScript,16623,483,3431,3174,2362.6666666666665
261,nfl/react-helmet,JavaScript,16611,302,375,697,458.0
262,knex/knex,JavaScript,16603,1924,3440,1972,2445.3333333333335
263,Asabeneh/30-Days-Of-React,JavaScript,16600,176,47,4304,1509.0
264,semantic-release/semantic-release,JavaScript,16595,1017,1233,1595,1281.6666666666667
265,amark/gun,JavaScript,16548,544,728,1105,792.3333333333334
266,copy/v86,JavaScript,16530,142,527,1173,614.0
267,react-grid-layout/react-grid-layout,JavaScript,16516,387,1307,2253,1315.6666666666667
268,EastWorld/wechat-app-mall,JavaScript,16511,75,206,5778,2019.6666666666667
269,aFarkas/lazysizes,JavaScript,16503,132,805,1750,895.6666666666666
270,nondanee/UnblockNeteaseMusic,JavaScript,16491,45,767,2525,1112.3333333333333
271,ethereumbook/ethereumbook,JavaScript,16452,821,199,4067,1695.6666666666667
272,alsotang/node-lessons,JavaScript,16449,45,128,4823,1665.3333333333333
273,twitter/typeahead.js,JavaScript,16446,473,1326,3270,1689.6666666666667
274,jamiebuilds/react-loadable,JavaScript,16440,239,0,853,364.0
275,Shopify/draggable,JavaScript,16415,248,288,1048,528.0
276,eip-work/kuboard-press,JavaScript,16400,22,338,1236,532.0
277,youzan/vant-weapp,JavaScript,16298,1683,3356,3382,2807.0
278,web3/web3.js,JavaScript,16298,2021,3097,4283,3133.6666666666665
279,hubotio/hubot,JavaScript,16282,758,777,3889,1808.0
280,motdotla/dotenv,JavaScript,16175,278,400,803,493.6666666666667
281,oblador/react-native-vector-icons,JavaScript,16151,330,1136,2051,1172.3333333333333
282,visionmedia/superagent,JavaScript,16145,650,1063,1334,1015.6666666666666
283,dvajs/dva,JavaScript,16088,344,2156,3226,1908.6666666666667
284,ruanyf/react-demos,JavaScript,16010,51,32,6569,2217.3333333333335
285,JedWatson/classnames,JavaScript,15957,141,144,546,277.0
286,wagerfield/parallax,JavaScript,15923,43,272,2161,825.3333333333334
287,KaTeX/KaTeX,JavaScript,15881,2055,1473,1081,1536.3333333333333
288,getify/Functional-Light-JS,JavaScript,15835,89,123,1925,712.3333333333334
289,netlify/netlify-cms,JavaScript,15809,3862,2663,2842,3122.3333333333335
290,auth0/node-jsonwebtoken,JavaScript,15797,254,558,1147,653.0
291,menzi11/BullshitGenerator,JavaScript,15700,53,154,2975,1060.6666666666667
292,yabwe/medium-editor,JavaScript,15682,641,941,1884,1155.3333333333333
293,appium/appium,JavaScript,15637,4412,12707,5759,7626.0
294,janl/mustache.js,JavaScript,15582,338,462,2442,1080.6666666666667
295,emotion-js/emotion,JavaScript,15573,1303,1499,1034,1278.6666666666667
296,infernojs/inferno,JavaScript,15567,738,869,673,760.0
297,Budibase/budibase,JavaScript,15457,2252,2867,911,2010.0
298,jasmine/jasmine,JavaScript,15451,599,1368,2273,1413.3333333333333
299,node-red/node-red,JavaScript,15443,1819,2064,2905,2262.6666666666665
300,you-dont-need/You-Dont-Need-Lodash-Underscore,JavaScript,15417,231,116,744,363.6666666666667
301,pouchdb/pouchdb,JavaScript,15301,4365,4154,1434,3317.6666666666665
302,lllyasviel/style2paints,JavaScript,15219,24,173,1879,692.0
303,nswbmw/N-blog,JavaScript,15170,46,442,4761,1749.6666666666667
304,browsh-org/browsh,JavaScript,15130,75,372,437,294.6666666666667
305,sweetalert2/sweetalert2,JavaScript,15127,991,1525,1496,1337.3333333333333
306,SimulatedGREG/electron-vue,JavaScript,15101,185,937,1557,893.0
307,nodemailer/nodemailer,JavaScript,15092,218,1255,1318,930.3333333333334
308,plotly/plotly.js,JavaScript,15071,2618,3713,1711,2680.6666666666665
309,greensock/GSAP,JavaScript,15061,47,468,1582,699.0
310,bower/bower,JavaScript,15059,678,1914,1947,1513.0
311,localtunnel/localtunnel,JavaScript,14994,90,436,1140,555.3333333333334
312,designmodo/Flat-UI,JavaScript,14953,74,189,2388,883.6666666666666
313,krisk/Fuse,JavaScript,14950,182,488,741,470.3333333333333
314,kriskowal/q,JavaScript,14950,299,556,1243,699.3333333333334
315,yaronn/blessed-contrib,JavaScript,14949,95,141,898,378.0
316,ampproject/amphtml,JavaScript,14911,24378,13916,4023,14105.666666666666
317,acdlite/recompose,JavaScript,14846,430,439,1305,724.6666666666666
