,HashId,ProjectName,UpdateAt,TimeToUpdate,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfPullRequests,TotalOfReleases,TotalOfIssues,TotalOfClosedIssues,RateOfIssues
82,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,20/10/2022,0,04/07/2013,3395,Go,63149,1792,10,6174,5571,"0,9"
83,MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,20/10/2022,0,20/11/2016,2160,TypeScript,62768,2444,0,4643,3965,"0,85"
84,MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,20/10/2022,0,16/10/2017,1830,-,62376,172,1,140,134,"0,96"
85,MDEwOlJlcG9zaXRvcnkxODYxNDU4,hakimel/reveal.js,20/10/2022,0,07/06/2011,4153,JavaScript,62271,365,10,2174,1554,"0,71"
86,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,20/10/2022,0,10/03/2012,3876,JavaScript,61948,4180,10,9231,9043,"0,98"
87,MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm-sh/nvm,20/10/2022,0,15/04/2010,4571,Shell,61779,668,10,1828,1524,"0,83"
88,MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,20/10/2022,0,04/04/2018,1660,Java,61677,0,2,443,417,"0,94"
89,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,20/10/2022,0,08/02/2010,4637,Java,61539,51617,10,30940,27457,"0,89"
90,MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindlabs/tailwindcss,20/10/2022,0,06/10/2017,1840,JavaScript,61536,1554,10,2547,2545,"1,0"
91,MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,20/10/2022,0,21/12/2015,2495,Go,61019,397,10,2518,2417,"0,96"
92,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,20/10/2022,0,17/06/2013,3412,C,60906,5839,10,7044,6830,"0,97"
93,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,20/10/2022,0,06/04/2010,4580,Python,60881,1406,10,2412,2407,"1,0"
94,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,apple/swift,20/10/2022,0,23/10/2015,2554,C++,60879,39464,10,12983,7395,"0,57"
95,MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,ripienaar/free-for-dev,20/10/2022,0,18/03/2015,2773,HTML,60682,1989,0,0,0,-
96,MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,521xueweihan/HelloGitHub,20/10/2022,0,04/05/2016,2360,Python,60404,14,10,2329,2277,"0,98"
97,MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,20/10/2022,0,13/08/2016,2259,C++,59718,5227,10,28936,19379,"0,67"
98,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular/angular.js,20/10/2022,0,06/01/2010,4670,JavaScript,59372,789,0,9040,8649,"0,96"
99,MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,florinpop17/app-ideas,20/10/2022,0,25/02/2019,1333,-,58890,149,0,101,35,"0,35"
